,Text
0,RT @yySaan: รัฐบาลหรือเปล่าวิจารณ์ไม่ได้เลย #EXOeLementTH
1,RT @yuteesonyu: ไม่อยากอ่านอะไรที่เกี่ยวข้องกับรัฐบาลเลย มันหดหู่ สลดใจ ท้อ สิ้นหวัง ไม่เคยเจอข่าวอะไรที่อ่านแล้วชื่นใจเลย เลือกตั้งก็โกงมา…
2,RT @castby9arm: นักบริหาร ใช้กูเกิลเป็น ชาวบ้านไม่ทำเลยไม่พัฒนา โอ้ยท่านน ดูถูก ปชช ตัวเองบนเวทีโลกแบบนี้มันดีแล้วเหรอวะ เบลมทุกอย่างยกเว้น…
3,RT @fplt_studio: ส่งลูกเรียนโรงเรียนรัฐบาลค่ะ https://t.co/glmnxajpbV
4,@sudaratofficial 555 เชื่อดิ พรุ่งนี้โฆษกรัฐบาลออกมาชี้แจง fake news จร้าาา ยาวปาย
5,RT @castby9arm: นักบริหาร ใช้กูเกิลเป็น ชาวบ้านไม่ทำเลยไม่พัฒนา โอ้ยท่านน ดูถูก ปชช ตัวเองบนเวทีโลกแบบนี้มันดีแล้วเหรอวะ เบลมทุกอย่างยกเว้น…
6,"RT @sinchaichao: รัฐบาลและกระทรวงศึกษาฯ กำลังรณรงค์ปลุกจิตสำนึกเรื่อง ""ประวัติศาสตร์ชาติไทย และบุญคุณและบุญญาธิการของพระมหากษัตริย์ไทย"" ทั้…"
7,RT @nitipaveen: มาถึงจุดที่ปชช.ต้องจับโป๊ะอีพวกสวะกันเอง น้ำท่วมต้องหาเงินช่วยเหลือกันเอง คนไทยช่วยเหลือตัวเองกันจนทุกวันนี้ยังงงว่าเราจะยั…
8,RT @kapom76: @DrNarumonP @kamphaka ตกลงคุณโฆษกเป็นโฆษกรัฐบาลหรือโฆษกประจำตัวนายกกันแน่คะ ลงอะไรที่มีสาระต่อรัฐบาลดีกว่าไหมคะ ทำไมชอบลงแต่ภา…
9,RT @fplt_studio: ส่งลูกเรียนโรงเรียนรัฐบาลค่ะ https://t.co/glmnxajpbV
10,RT @fplt_studio: ส่งลูกเรียนโรงเรียนรัฐบาลค่ะ https://t.co/glmnxajpbV
11,RT @Pannika_FWP: ขอเรียกร้องให้สื่อที่พาดหัวข่าวปลอมแบบนี้ แสดงความรับผิดชอบต่อสังคมด้วยค่ะ และขอถามศูนย์ต้านเฟคนิวส์ของรัฐบาลคุณประยุทธ์…
12,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
13,RT @kapom76: @DrNarumonP @kamphaka ตกลงคุณโฆษกเป็นโฆษกรัฐบาลหรือโฆษกประจำตัวนายกกันแน่คะ ลงอะไรที่มีสาระต่อรัฐบาลดีกว่าไหมคะ ทำไมชอบลงแต่ภา…
14,RT @supotayan: ในรัฐบาลทักษิณระบบราชการนี่อยู่ภายใต้ตีนปชช.เป็นครั้งแรก ใครไปเจอข้าราชการบนอำเภอจะรู้ว่าเมื่อก่อนรัฐบาลทักษิณจะมาเหมือนขี้…
15,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
16,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
17,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
18,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
19,RT @yuteesonyu: ไม่อยากอ่านอะไรที่เกี่ยวข้องกับรัฐบาลเลย มันหดหู่ สลดใจ ท้อ สิ้นหวัง ไม่เคยเจอข่าวอะไรที่อ่านแล้วชื่นใจเลย เลือกตั้งก็โกงมา…
20,RT @yuteesonyu: ไม่อยากอ่านอะไรที่เกี่ยวข้องกับรัฐบาลเลย มันหดหู่ สลดใจ ท้อ สิ้นหวัง ไม่เคยเจอข่าวอะไรที่อ่านแล้วชื่นใจเลย เลือกตั้งก็โกงมา…
21,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
22,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
23,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
24,RT @fplt_studio: ส่งลูกเรียนโรงเรียนรัฐบาลค่ะ https://t.co/glmnxajpbV
25,RT @irichmillion: เกรตา มีพ่อเป็นนักเขียน/นักแสดง แม่เป็นนักร้องโอเปร่า ปู่เป็นผู้กำกับ และเธอยังเป็นเหลนแท้ๆ ของสวานเต อาร์เรเนียส นักวิทย…
26,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
27,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
28,RT @supotayan: ในรัฐบาลทักษิณระบบราชการนี่อยู่ภายใต้ตีนปชช.เป็นครั้งแรก ใครไปเจอข้าราชการบนอำเภอจะรู้ว่าเมื่อก่อนรัฐบาลทักษิณจะมาเหมือนขี้…
29,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
30,"RT @sinchaichao: รัฐบาลและกระทรวงศึกษาฯ กำลังรณรงค์ปลุกจิตสำนึกเรื่อง ""ประวัติศาสตร์ชาติไทย และบุญคุณและบุญญาธิการของพระมหากษัตริย์ไทย"" ทั้…"
31,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
32,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
33,RT @yuteesonyu: ไม่อยากอ่านอะไรที่เกี่ยวข้องกับรัฐบาลเลย มันหดหู่ สลดใจ ท้อ สิ้นหวัง ไม่เคยเจอข่าวอะไรที่อ่านแล้วชื่นใจเลย เลือกตั้งก็โกงมา…
34,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
35,RT @fridayokaeri: @itim81 ซึ่งขอโทษนะคะ ควาทเป็นเผด็จการไม่ใช่การปั่นเพราะไม่พอใจที่ไม่ได้เป็นรัฐบาล แต่เรากำลังพูดถึงระบอบการปกครองกันอยู่…
36,RT @NuttaaBow: นัชชชา อดีตนศ.ผู้เคยชู 3 นิ้วเพื่อต่อต้านรัฐประหาร ชูป้ายประท้วงเมื่อวานขณะพล.อ.ประยุทธ์ กำลังปาฐกถาในการประชุม Asia Society…
37,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
38,"RT @Citizen2600: รัฐบาลนี้ประกอบด้วย

1.นายกฯที่บริหารงานด้วย GooGle 
2.รองนายกฯ ก็เป็นบิดแห่งการยกเว้น 
3.รมช.เกษตร ผ่านการค้ายาข้ามชาติ…"
39,RT @castby9arm: นักบริหาร ใช้กูเกิลเป็น ชาวบ้านไม่ทำเลยไม่พัฒนา โอ้ยท่านน ดูถูก ปชช ตัวเองบนเวทีโลกแบบนี้มันดีแล้วเหรอวะ เบลมทุกอย่างยกเว้น…
40,RT @fplt_studio: ส่งลูกเรียนโรงเรียนรัฐบาลค่ะ https://t.co/glmnxajpbV
41,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
42,"RT @aprilskies6: ไอที่ออกมาแซะเรื่องด่าลุงแต่รับเงินพันนึงเนี่ยคือโง่มากนะ ทำมีมเหมือนจะฉลาดแต่คือโง่จนสมเพช

งั้นเกลียดทักษิณก็อย่าเสร่อใ…"
