,Text
0,RT @pookem: พรรคร่วมฝ่ายค้าน มีทั้งเจ้าของโรงงานน้ำแข็ง เอเย่น และลูกค้า VIP
1,"RT @555_aowl: เปิดหน้าชนฝ่ายค้าน! 'มาดามเดียร์'นำทีมพปชร.ผุดเวทีปชต.ไม่ต้องแก้รธน.ก็อิ่มได้
https://t.co/5zxkfvYs7y https://t.co/1PsV1NhUT9"
2,"RT @pran2844: สื่อสลิ่มบอกว่า ฝ่ายค้านกระอักทรัมป์เลี้ยงข้าวประยุทธ์ คือเลี้ยงข้าวมื้อหนึ่งแล้วขายของได้ 12,000 ล้าน ถ้ากูเป็นทรัมป์กูแถมเ…"
3,กุเหน่ยกับ gov มาก ฝ่ายค้านช่วยทำไรที
4,RT @TanwarinS: ขึ้นเวทีปราศรัย​กับธนาธรที่ตลาดพันล้าน​ สามพราน​ นครปฐม​ เขต​ 5  23​ ตุลากาอนาคตใหม่​ กาให้ได้คะแนนเสียง​ถล่มทลาย​ กาให้พรรค…
5,RT @Akeamoo: ทานโทด นี่ดูซีรี่ย์ designated survivor 60 days ของเกาหลี กว่าประธานาธิบดี หรือรัฐบาลจะเคลื่อนไหวอะไรสักอย่างคือ คิดแล้วคิดอีก…
6,RT @Pinny45: เป็นความผิดของฝ่ายค้านว่ะค่ะ ส่วนพรรคที่เชิดชู ปชตสุจริตคือเฉย ๆ นั่งทำงานใน ครม เดียวกันได้ https://t.co/pMRUt8gA7B
7,"RT @iamruj: เพื่อส่งมาให้อ่านในไลน์ ใจความว่า...

ลายมือ รมต.อนุทิน 
สั่งงาน ขรก.กระทรวงสาธารณสุข
จงอย่าได้แปลกใจว่า ทำไมงานออกมา ไม่ตรงกับ…"
8,RT @TanwarinS: ขึ้นเวทีปราศรัย​กับธนาธรที่ตลาดพันล้าน​ สามพราน​ นครปฐม​ เขต​ 5  23​ ตุลากาอนาคตใหม่​ กาให้ได้คะแนนเสียง​ถล่มทลาย​ กาให้พรรค…
9,"RT @iamruj: เพื่อส่งมาให้อ่านในไลน์ ใจความว่า...

ลายมือ รมต.อนุทิน 
สั่งงาน ขรก.กระทรวงสาธารณสุข
จงอย่าได้แปลกใจว่า ทำไมงานออกมา ไม่ตรงกับ…"
10,RT @TanwarinS: ขึ้นเวทีปราศรัย​กับธนาธรที่ตลาดพันล้าน​ สามพราน​ นครปฐม​ เขต​ 5  23​ ตุลากาอนาคตใหม่​ กาให้ได้คะแนนเสียง​ถล่มทลาย​ กาให้พรรค…
11,"RT @Thaikorn1: ทำไมเลือกตั้งซ่อม ต้องเลือกฝ่ายค้าน..!
เลือกฝ่ายค้านเพื่อเปลี่ยนรัฐบาล เลือกฝ่ายค้านเพื่อส่งประยุทธ์กลับบ้าน..!
#ไทกร
https:…"
12,"RT @iamruj: เพื่อส่งมาให้อ่านในไลน์ ใจความว่า...

ลายมือ รมต.อนุทิน 
สั่งงาน ขรก.กระทรวงสาธารณสุข
จงอย่าได้แปลกใจว่า ทำไมงานออกมา ไม่ตรงกับ…"
13,RT @TanwarinS: ขึ้นเวทีปราศรัย​กับธนาธรที่ตลาดพันล้าน​ สามพราน​ นครปฐม​ เขต​ 5  23​ ตุลากาอนาคตใหม่​ กาให้ได้คะแนนเสียง​ถล่มทลาย​ กาให้พรรค…
14,"RT @iamruj: เพื่อส่งมาให้อ่านในไลน์ ใจความว่า...

ลายมือ รมต.อนุทิน 
สั่งงาน ขรก.กระทรวงสาธารณสุข
จงอย่าได้แปลกใจว่า ทำไมงานออกมา ไม่ตรงกับ…"
15,RT @KhaosodOnline: แก้ปากท้อง เป็นหน้าที่ฝ่ายค้านหรือ? ประชาชาติ โต้ ‘มาดามเดียร์’ กำลังสำคัญผิด เปิดเวทีต้านแก้รัฐธรรมนูญของฝ่ายค้าน อ้าง…
16,"RT @iamruj: เพื่อส่งมาให้อ่านในไลน์ ใจความว่า...

ลายมือ รมต.อนุทิน 
สั่งงาน ขรก.กระทรวงสาธารณสุข
จงอย่าได้แปลกใจว่า ทำไมงานออกมา ไม่ตรงกับ…"
17,"RT @pran2844: สื่อสลิ่มบอกว่า ฝ่ายค้านกระอักทรัมป์เลี้ยงข้าวประยุทธ์ คือเลี้ยงข้าวมื้อหนึ่งแล้วขายของได้ 12,000 ล้าน ถ้ากูเป็นทรัมป์กูแถมเ…"
18,RT @TanwarinS: ขึ้นเวทีปราศรัย​กับธนาธรที่ตลาดพันล้าน​ สามพราน​ นครปฐม​ เขต​ 5  23​ ตุลากาอนาคตใหม่​ กาให้ได้คะแนนเสียง​ถล่มทลาย​ กาให้พรรค…
19,"RT @pran2844: สื่อสลิ่มบอกว่า ฝ่ายค้านกระอักทรัมป์เลี้ยงข้าวประยุทธ์ คือเลี้ยงข้าวมื้อหนึ่งแล้วขายของได้ 12,000 ล้าน ถ้ากูเป็นทรัมป์กูแถมเ…"
