,X,Y
0,เฉย,neu
1,นิ่ง,neu
2,เสมอ,neu
3,ตกลง,neu
4,อ่อ,neu
5,สัมภาษณ์,neu
6,เงียบ,neu
7,โอเค,neu
8,พูด,neu
9,ทำ,neu
10,ตรวจสอบ,neu
11,ตระหนัก,neu
12,รับรู้,neu
13,จับ,neu
14,เกาะ,neu
15,รูปแบบ,neu
16,พอกัน,neu
17,ขยับ,neu
18,เรื่อย,neu
19,พัก,neu
20,ส่อง,neu
21,มอง,neu
22,กีฬา,neu
23,เรียน,neu
24,เรื่อง,neu
25,ชาว,neu
26,บ้าน,neu
27,ชาวบ้าน,neu
28,หน้า,neu
29,ยกเว้น,neu
30,ตัวเอง,neu
31,มุม,neu
32,ตัดสิน,neu
33,วาง,neu
34,หยุด,neu
35,หรอ,neu
36,หรา,neu
37,ซัก,neu
38,รีด,neu
39,อยาก,neu
40,แอบ,neu
41,ฟัง,neu
42,ใส่,neu
43,ถ้า,neu
44,แปะมือ,neu
45,เดิม,neu
46,ดำรง,neu
47,นิยาม,neu
48,รอ,neu
49,ตอบ,neu
50,ตาม,neu
51,อะไร,neu
52,ธรรมชาติ,neu
53,เยอะ,neu
54,ทึ่ง,neu
55,เผื่อ,neu
56,สากล,neu
57,เป๊ะ,neu
58,จ้า,neu
59,คะ,neu
60,ค่ะ,neu
61,ครับ,neu
62,ผ่าน,neu
63,เพิ่ง,neu
64,เรียก,neu
65,บอก,neu
66,นำ,neu
67,พา,neu
68,พิสูจน์,neu
69,ใช้,neu
70,ต่อ,neu
71,เป็น,neu
72,จะ,neu
73,ทำ,neu
74,ที่,neu
75,เรื่อง,neu
76,เงิน,neu
77,ตัง,neu
78,ตังค์,neu
79,อาจ,neu
80,เปิดเผย,neu
81,เปิด,neu
82,ปิด,neu
83,พก,neu
84,ก็,neu
85,สอบ,neu
86,การ,neu
87,จะ,neu
88,ดู,neu
89,เดา,neu
90,เลย,neu
91,ไป,neu
92,กลาง,neu
93,แล้ว,neu
94,เป็นกลาง,neu
95,เดิน,neu
96,วิ่ง,neu
97,เล่น,neu
98,อาหาร,neu
99,คุณ,neu
100,เขา,neu
101,คน,neu
102,มี,neu
103,เว้น,neu
104,พา,neu
105,นำ,neu
106,ดื่ม,neu
107,มัน,neu
108,ปล่อย,neu
109,ย้าย,neu
110,ฝึก,neu
111,งาน,neu
112,สถานะ,neu
113,สภาวะ,neu
114,ธรรมดา,neu
115,นอน,neu
116,ชาติ,neu
117,คุ้น,neu
118,ด้วย,neu
119,สมัคร,neu
120,มาตรการ,neu
121,นะ,neu
122,กับ,neu
123,วัน,neu
124,ผู้หญิง,neu
125,ผู้ชาย,neu
126,ผู้,neu
127,ทำตาม,neu
